Title,Slug,Summary,Category,Tags,Substack URL,Is Featured,Order
The Anti-Portfolio of Pharma,anti-portfolio-of-pharma,The thesis post: why the diseases big pharma rejects are the exact programs a yeast-first patient-partnered company should run.,Foundational,"Thesis,Strategy",https://www.cureodysseys.com,true,1
Patients are the platform,patients-are-the-platform,How Maggie's Pearl moved epalrestat from an N-of-1 to a 40-patient Phase III at Mayo Clinic in three years for under $5M.,Foundational,"PMM2-CDG,Trial design",https://www.cureodysseys.com,true,2
Community medicine · 1-to-N medicine,community-medicine-1-to-n,Two companion posts on treating each N-of-1 as a prototype and scaling to every subsequent patient carrying the same variant.,Foundational,"Methods,Policy",https://www.cureodysseys.com,false,3
Decentralized yeast lab for drug repurposing,decentralized-yeast-lab,How the Perlara wet lab runs as a distributed facility — instrument assay and QC standards that let a 3-person team profile thousands of compounds a month.,Platform,Operations,https://www.cureodysseys.com,false,4
Yeast avatars for drug repurposing,yeast-avatars-explainer,The canonical explainer on humanized yeast models — what they are what they can and can't do where Y. lipolytica beats S. cerevisiae.,Platform,Methods,https://www.cureodysseys.com,false,5
Pharma Chameleon — epalrestat for PMM2-CDG,pharma-chameleon-epalrestat,A Japanese diabetic-neuropathy drug repurposed. The mechanistic story of why aldose reductase inhibition restores glycosylation in PMM2-deficient cells.,PMM2-CDG,"PMM2-CDG,Repurposing",https://www.cureodysseys.com,true,6
Landry's PMM2-CDG yeast avatar,landrys-pmm2-cdg-avatar,The variant-specific avatar built for a single patient — screen hit list compassionate-use path.,PMM2-CDG,"PMM2-CDG,N-of-1",https://www.cureodysseys.com,false,7
Restoring balance to the flux,gmppa-cdg-balance-flux,GMPPA-CDG: loss of GMPPA causes runaway GMPPB and hypermannosylation. Two wrongs make a right — inhibiting GMPPB normalizes flux.,CDG,"GMPPA-CDG,Mechanism",https://www.cureodysseys.com,true,8
ALG11-CDG Cure Odyssey,alg11-cdg-cure-odyssey,Building and screening the ALG11 yeast avatar — the N-glycosylation branch of the CDG family.,CDG,ALG11-CDG,https://www.cureodysseys.com,false,9
Yeast-powered drug repurposing screens for SURF1 Leigh Syndrome are done,surf1-screens-done,The headline result from the first SURF1 campaign — a ranked hit list of rescuers of SURF1-deficient yeast respiration.,Leigh Syndrome,"SURF1,Complex IV",https://www.cureodysseys.com,true,10
SURF1 yeast hits validated in patient fibroblasts,surf1-fibroblasts-validation,Six of the top twelve SURF1 yeast rescuers reproduced in patient fibroblasts — the strongest yeast-to-human translation signal we've measured.,Leigh Syndrome,"SURF1,Validation",https://www.cureodysseys.com,true,11
Leigh Syndrome drug repurposing updates,leigh-syndrome-updates,Rolling update across ETC programs — status of SURF1 Complex I and upcoming Y. lipolytica assays.,Leigh Syndrome,Leigh,https://www.cureodysseys.com,false,12
FOXG1 Cure Odyssey,foxg1-cure-odyssey-post,The first CRDF-funded Cure Odyssey — FOXG1 syndrome yeast models and early hits.,FOXG1,FOXG1,https://www.cureodysseys.com,false,13
GNAO1 yeast avatars for drug multipurposing,gnao1-yeast-avatars,Variant-specific avatars for the A221D allele built in collaboration with the Undiagnosed Diseases Network.,GNAO1,"GNAO1,UDN",https://www.cureodysseys.com,false,14
NARS1 Cure Odyssey,nars1-cure-odyssey-post,The asparaginyl-tRNA synthetase program — one of a growing family of tRNA-synthetase-linked IMDs in the REMIT pipeline.,tRNA synthetases,NARS1,https://www.cureodysseys.com,false,15
DHDDS Cure Odyssey,dhdds-cure-odyssey-post,Dolichol biosynthesis defects and the first hits from the DHDDS yeast avatar.,DHDDS,DHDDS,https://www.cureodysseys.com,false,16
Yeast-powered drug repurposing screen → parent-driven N-of-1 (PIGW),pigw-parent-driven-n-of-1,How a PIGW family took the top-ranked rescuer straight into a parent-driven N-of-1 protocol.,GPI,"PIGW,N-of-1",https://www.cureodysseys.com,false,17
PIGN Cure Collective,pign-cure-collective-post,Formation of a multi-family Cure Collective for PIGN GPI-anchor deficiency with a shared yeast avatar and screen.,GPI,PIGN,https://www.cureodysseys.com,false,18
PGAP3 drug repurposing screens are done,pgap3-screens-done,Completion of the PGAP3 primary screen and first-pass hit triage.,GPI,PGAP3,https://www.cureodysseys.com,false,19
ADSL Cure Odyssey · ECHS1 Cure Odyssey,adsl-echs1-paired-posts,Two paired posts on purine-biosynthesis (ADSL) and valine-catabolism (ECHS1) avatars and their early compound fingerprints.,Purine / valine,"ADSL,ECHS1",https://www.cureodysseys.com,false,20
Fuel It Still,fuel-it-still,A working note on maintaining patient-first momentum through the awkward middle of the drug-development timeline.,Strategy,Culture,https://www.cureodysseys.com,false,21
